"","DateTime","Solskin","lattitude[i]","longtitude[i]","by[i]"
"184","2020-01-08 17:00:00",0,55.3088,10.4398,"Årslev"
"185","2020-01-08 18:00:00",0,55.3088,10.4398,"Årslev"
"186","2020-01-08 19:00:00",0,55.3088,10.4398,"Årslev"
"187","2020-01-08 20:00:00",0,55.3088,10.4398,"Årslev"
"188","2020-01-08 21:00:00",0,55.3088,10.4398,"Årslev"
"189","2020-01-08 22:00:00",0,55.3088,10.4398,"Årslev"
"190","2020-01-08 23:00:00",0,55.3088,10.4398,"Årslev"
"191","2020-01-09 00:00:00",0,55.3088,10.4398,"Årslev"
"192","2020-01-09 01:00:00",0,55.3088,10.4398,"Årslev"
"193","2020-01-09 02:00:00",0,55.3088,10.4398,"Årslev"
"194","2020-01-09 03:00:00",0,55.3088,10.4398,"Årslev"
"195","2020-01-09 04:00:00",0,55.3088,10.4398,"Årslev"
"196","2020-01-09 05:00:00",0,55.3088,10.4398,"Årslev"
"197","2020-01-09 06:00:00",0,55.3088,10.4398,"Årslev"
"198","2020-01-09 07:00:00",0,55.3088,10.4398,"Årslev"
"199","2020-01-09 08:00:00",0,55.3088,10.4398,"Årslev"
"200","2020-01-09 09:00:00",0,55.3088,10.4398,"Årslev"
"201","2020-01-09 10:00:00",0,55.3088,10.4398,"Årslev"
"202","2020-01-09 11:00:00",0,55.3088,10.4398,"Årslev"
"203","2020-01-09 12:00:00",0,55.3088,10.4398,"Årslev"
"204","2020-01-09 13:00:00",0,55.3088,10.4398,"Årslev"
"205","2020-01-09 14:00:00",0,55.3088,10.4398,"Årslev"
"206","2020-01-09 15:00:00",0,55.3088,10.4398,"Årslev"
"207","2020-01-09 16:00:00",0,55.3088,10.4398,"Årslev"
"208","2020-01-09 17:00:00",0,55.3088,10.4398,"Årslev"
"209","2020-01-09 18:00:00",0,55.3088,10.4398,"Årslev"
"210","2020-01-09 19:00:00",0,55.3088,10.4398,"Årslev"
"211","2020-01-09 20:00:00",0,55.3088,10.4398,"Årslev"
"212","2020-01-09 21:00:00",0,55.3088,10.4398,"Årslev"
"213","2020-01-09 22:00:00",0,55.3088,10.4398,"Årslev"
"214","2020-01-09 23:00:00",0,55.3088,10.4398,"Årslev"
"215","2020-01-10 00:00:00",0,55.3088,10.4398,"Årslev"
"216","2020-01-10 01:00:00",0,55.3088,10.4398,"Årslev"
"217","2020-01-10 02:00:00",0,55.3088,10.4398,"Årslev"
"218","2020-01-10 03:00:00",0,55.3088,10.4398,"Årslev"
"219","2020-01-10 04:00:00",0,55.3088,10.4398,"Årslev"
"220","2020-01-10 05:00:00",0,55.3088,10.4398,"Årslev"
"221","2020-01-10 06:00:00",0,55.3088,10.4398,"Årslev"
"222","2020-01-10 07:00:00",0,55.3088,10.4398,"Årslev"
"223","2020-01-10 08:00:00",0,55.3088,10.4398,"Årslev"
"224","2020-01-10 09:00:00",0,55.3088,10.4398,"Årslev"
"225","2020-01-10 10:00:00",0,55.3088,10.4398,"Årslev"
"226","2020-01-10 11:00:00",0,55.3088,10.4398,"Årslev"
"227","2020-01-10 12:00:00",0,55.3088,10.4398,"Årslev"
"228","2020-01-10 13:00:00",0,55.3088,10.4398,"Årslev"
"229","2020-01-10 14:00:00",0,55.3088,10.4398,"Årslev"
"230","2020-01-10 15:00:00",0,55.3088,10.4398,"Årslev"
"231","2020-01-10 16:00:00",0,55.3088,10.4398,"Årslev"
"232","2020-01-10 17:00:00",0,55.3088,10.4398,"Årslev"
"233","2020-01-10 18:00:00",0,55.3088,10.4398,"Årslev"
"234","2020-01-10 19:00:00",0,55.3088,10.4398,"Årslev"
"235","2020-01-10 20:00:00",0,55.3088,10.4398,"Årslev"
"236","2020-01-10 21:00:00",0,55.3088,10.4398,"Årslev"
"237","2020-01-10 22:00:00",0,55.3088,10.4398,"Årslev"
"238","2020-01-10 23:00:00",0,55.3088,10.4398,"Årslev"
"239","2020-01-11 00:00:00",0,55.3088,10.4398,"Årslev"
"240","2020-01-11 01:00:00",0,55.3088,10.4398,"Årslev"
"241","2020-01-11 02:00:00",0,55.3088,10.4398,"Årslev"
"242","2020-01-11 03:00:00",0,55.3088,10.4398,"Årslev"
"243","2020-01-11 04:00:00",0,55.3088,10.4398,"Årslev"
"244","2020-01-11 05:00:00",0,55.3088,10.4398,"Årslev"
"245","2020-01-11 06:00:00",0,55.3088,10.4398,"Årslev"
